Title,Author,Genre,Subject,Summary
The Laws Guide to Nature Drawing and Journaling,John Muir Laws,Art Instruction / Nature,"Nature Journaling, Drawing, Observation","A thorough guide to keeping a nature journal — drawing technique, observation practice, note-taking and curiosity as a method."
The Lewis & Clark Expedition,Richard L. Neuberger,Children's Nonfiction / History,"Exploration, American West, Landmark Books","The 1804-1806 journey from St. Louis to the Pacific and back, written for young readers in the Landmark Books series."
The Light of All That Falls,James Islington,Fantasy,"Prophecy, Magic, Time",The loops close and the cost of the Boundary comes due. Final book of the Licanius Trilogy.
The Little Gnome Tenderroot,Jakob Streit,Children's Storybook / Waldorf,"Gnomes, Nature, Earth","A gnome's underground life among roots, stones and crystals, in the nature-story tradition Streit wrote for young Waldorf classes."
The Lost Words: Spell Songs,Folk by the Oak (songs inspired by Robert Macfarlane and Jackie Morris),Songbook / CD Set,"Nature Words, Folk Music, Illustration","A book-and-CD set of songs written by a folk supergroup in response to Macfarlane and Morris's The Lost Words, with accompanying artwork. Included here as a non-book item, with the format noted."
The Lost World,Michael Crichton,Science Fiction / Thriller,"Dinosaurs, Islands, Genetics","Six years after Jurassic Park, a second island of engineered dinosaurs draws another expedition. Crichton's sequel."
The Magic Ball of Wool,Susanna Isern (illustrated by Nora Hilb),Children's Picture Book,"Kindness, Knitting, Sharing",A boy discovers a ball of wool that never runs out and uses it to knit gifts for everyone who needs one. A picture book about generosity and the quiet good that small acts do.
The Magic Finger,Roald Dahl,Children's Chapter Book,"Magic, Hunting, Reversal","A girl whose anger gives her a magic finger turns it on a family of duck hunters, who wake up with wings."
The Magic Knot & Other Tangles!,Reg Down,Children's Chapter Book / Waldorf,"Fairies, Humor, Nature Stories","A comedy starring the gnomes Pine Cone and Pepper Pot alongside Tiptoes Lightly, full of tangles, mishaps and small woodland magic."
The Magical Unicorn Society Official Coloring Book,Selwyn E. Phipps,Coloring Book,"Unicorns, Coloring",A coloring companion to the Magical Unicorn Society books.
The Magical Worlds of Harry Potter,David Colbert,Reference,"Harry Potter, Folklore, Etymology","Short entries tracing the myths, legends, and word origins behind names and creatures in the Harry Potter books."
The Martian,Andy Weir,Science Fiction,"Mars, Survival, Engineering","An astronaut left behind on Mars keeps himself alive with botany, chemistry, and stubbornness while NASA works out a rescue."
"The Middle Ages for Kids: Through the Lives of Kings, Heroes, and Saints",Catherine Fet,Children's Nonfiction / History,"Medieval History, Biography","Medieval history told the old-fashioned way — as a sequence of short, memorable biographical stories about the era's kings, heroes and saints, richly illustrated with period art."
The Middle Ages: A Graphic History,Eleanor Janega (illustrated by Neil Max Emmanuel),Graphic Novel / Nonfiction,"Medieval History, Myth-Busting, Comics",A comics history of medieval Europe that takes aim at the Dark Ages caricature. Introducing Books.
The Midsummer Mouse,Reg Down,Children's Chapter Book / Waldorf,"Summer, Fairies, Nature Stories","Midsummer tales of Tiptoes Lightly and the Summer Queen, following the high-summer doings of the meadow and its small inhabitants."
The Midsummer Tomte and the Little Rabbits,Ulf Stark (illustrated by Eva Eriksson),Children's Chapter Book,"Midsummer, Tomte, Sweden",Grump the tomte shelters the forest animals after a storm wrecks the rabbit children's Midsummer plans. Told in twenty-one short chapters meant to be read a day at a time through June.
The Mitten,Jan Brett,Children's Picture Book / Folktale,"Ukrainian Folktale, Winter, Animals","Nicki loses a white wool mitten in the snow and one animal after another crowds inside it until it can stretch no further. Brett's retelling of a Ukrainian folktale, with her signature bordered illustrations."
The Mitten Thief,Jill Kaufenberg,Children's Picture Book,"Winter, Mystery, Friendship","Sisters Molly and Jules keep losing their mittens, and a snowy outdoor adventure with their friends reveals what has really been happening to them beneath the snow piles — after which the kids hatch a plan to return every mitten to its owner."
The Moomins and the Great Flood,Tove Jansson,Children's Illustrated Fiction,"Moomins, Adventure, Family","The first Moomin book: Moominmamma and Moomintroll search for Moominpappa through a flooded, strange landscape and find their way to the Moominvalley."
The Moon,Hannah Pang (illustrated by Thomas Hegbrook),Children's Nonfiction,"Moon, Astronomy, Culture","The moon across science, mythology and human history, from tides and phases to lunar landings and lunar legends."
The Mysteries of the Universe,Will Gater (illustrated by Angela Rizza and Daniel Long),Children's Reference,"Astronomy, Space, Solar System","A gold-and-navy illustrated guide to more than one hundred objects in space — planets, moons, nebulae, galaxies and black holes — with the science and the stories behind each."
The Name of the Wind,Patrick Rothfuss,Fantasy,"Magic School, Music, Storytelling","Kvothe, now an innkeeper in hiding, tells the first day of his own story: orphaned, destitute, and clawing his way into the University. Tenth Anniversary Edition."
The New York Times Best of the Week Series: Monday Crosswords,edited by Will Shortz,Puzzle Book,"Crosswords, Puzzles","A collection of the week's easiest New York Times crosswords, all Monday puzzles."
The Noisy Paint Box,Barb Rosenstock (illustrated by Mary GrandPré),Children's Picture Book / Biography,"Kandinsky, Synesthesia, Abstract Art","The story of Vasya Kandinsky, who heard colors as sounds and painted the first abstract art despite everyone telling him to paint what he saw."
The Odyssey,"Homer, retold by Gillian Cross (illustrated by Neil Packer)",Children's Illustrated Classic,"Greek Mythology, Epic Poetry","Odysseus's ten-year voyage home from Troy past the Cyclops, Circe, the Sirens and Scylla, retold for children with striking graphic illustrations."
The Odyssey,Homer (illustrated by Manuela Adreani),Children's Illustrated Classic,"Greek Mythology, Epic Poetry","A large-format picture-book edition of Odysseus's journey home, with lush painterly illustrations by Manuela Adreani."
The Odyssey,Homer (translated by Robert Fitzgerald),Illustrated Classic,"Greek Epic, Odysseus, Translation","Fitzgerald's verse translation of Odysseus's ten-year voyage home from Troy. A third distinct edition of the Odyssey in this collection, alongside the Gillian Cross and Manuela Adreani versions."
The Once and Future King,T.H. White,Fantasy,"Arthurian Legend, Kingship, War","White's retelling of Malory, from Arthur's education by Merlyn through the collapse of Camelot. Collected in one volume."
The Once Upon a Time Map Book,B.G. Hennessy (illustrated by Peter Joyce),Children's Picture Book / Atlas,"Maps, Fairy Tales","Six fold-out maps of storybook lands — Oz, Neverland, Wonderland, the Giant's kingdom and more — with directions and treasure-hunt tasks for readers to follow."
The Overstory,Richard Powers,Literary Fiction,"Trees, Activism, Ecology",Nine strangers are drawn separately toward the fate of the world's remaining forests. Winner of the Pulitzer Prize.
The Panama Canal,Bob Considine,Children's Nonfiction / History,"Engineering, Panama, Landmark Books","The building of the canal, from the failed French attempt through the American construction and the fight against yellow fever. A Landmark Book."
The Penguin Historical Atlas of Ancient Civilizations,John Haywood,Reference / Historical Atlas,"Ancient History, Maps",Maps and commentary tracing the rise and spread of the ancient world's civilizations from Mesopotamia to Rome.
"The Pet Dragon: A Story about Adventure, Friendship, and Chinese Characters",Christoph Niemann,Children's Picture Book,"Chinese Characters, Language, Friendship","A girl searches for her runaway pet dragon, and along the way each Chinese character is drawn into the illustration it names — teaching how the written characters grow out of pictures."
"The Pigeon Has Feelings, Too!",Mo Willems,Children's Board Book,"Emotions, Humor, Pigeon Series","The bus driver asks the Pigeon to look happy, and the Pigeon works through a run of other feelings instead. A board book entry in Willems's Pigeon series."
The Pine Child,Paul Edmund Thomas (art by Katie McCollow),Children's Illustrated Fiction,"Winter, Forest, Wonder","A watercolor-illustrated winter tale from The Gabbro Head, following a small child through the snowy pinewoods toward the lamplight of a cabin."
"The Poetry of Science: The Poetry Friday Anthology for Science, For Kids",compiled by Sylvia Vardell & Janet Wong (illustrated by Frank Ramspott & Bug Wang),Children's Poetry Anthology,"Science Poetry, STEM","248 poems by 78 poets covering every area of science — matter, energy, life, earth and space — the student companion to the Poetry Friday Anthology for Science teacher edition."
The Poppy War,R.F. Kuang,Fantasy,"Military Fantasy, China, Shamanism",A war orphan tests into an elite military academy and discovers a lethal shamanic power. Draws heavily on twentieth-century Chinese history.
The Prince & the Coyote,David Bowles (illustrated by Amanda Mijangos),Young Adult Historical Fiction,"Aztec History, Nezahualcoyotl, Poetry","The story of Acolmiztli, the exiled prince who became the poet-king Nezahualcoyotl of Texcoco. A Pura Belpre-winning novel woven with translated Nahuatl verse."
The Princess in the Forest,Sibylle von Olfers,Children's Picture Book,"Fairies, Forest, Art Nouveau",A small princess wanders into the forest and is welcomed by its flower and animal children. One of von Olfers's early-twentieth-century nature fantasies in her distinctive decorative style.
The Purloining of Prince Oleomargarine,Mark Twain & Philip Stead (illustrated by Erin Stead),Children's Illustrated Fiction,"Fairy Tales, Kindness","An unfinished Twain story completed a century later: a poor boy, magic seeds that let him talk to animals, and the search for a stolen prince."
The Raccoon and the Bee Tree,Charles Eastman & Elaine Goodale Eastman (illustrated by Jim Turnbull),Children's Picture Book / Folktale,"Dakota Culture, Folklore, Greed","A Dakota story of a greedy raccoon who takes more honey than he needs and pays for it, retold from the Eastmans' early-1900s collection."
The Return of the Light: Twelve Tales from Around the World for the Winter Solstice,Carolyn McVickar Edwards,Folktale Anthology,"Winter Solstice, World Folklore, Seasonal Celebration","Twelve solstice stories retold from North America, China, Scandinavia, India, Africa, South America, Europe, and Polynesia, with notes on the traditions behind them."
The River Has Roots,Amal El-Mohtar,Fantasy,"Fairy Tale, Sisters, Folk Song","Two sisters tend the singing willows on the border between England and Faerie, until one of them is murdered. A novella built on the bones of the Twa Sisters ballad."
The Roadmap to Literacy,Janet Langley & Jennifer Militzer-Kopperl,Teaching Guide / Waldorf Curriculum,"Literacy Instruction, Waldorf Pedagogy","A comprehensive guide to teaching reading and writing in Waldorf grades 1–3, mapping the Renewal of Literacy approach onto phonics, spelling and language arts instruction."
The Rock from the Sky,Jon Klassen,Children's Picture Book,"Humor, Deadpan, Friendship","Five linked stories about a turtle, an armadillo, and a snake standing in spots of varying safety while something falls from above."
The Romance of Tristan and Iseult,Joseph Bedier,Illustrated Classic,"Arthurian Legend, Tragic Romance, Medieval",Bedier's reconstruction of the medieval Tristan legend from the surviving fragments. Slipcased edition.
The Sagas of Icelanders,Various (Penguin Classics Deluxe Edition),Folktale Anthology,"Icelandic Sagas, Medieval Iceland, Norse","A selection of the medieval Icelandic family sagas and tales in modern translation, with maps, glossaries, and reference material."
The School of Numbers,Emily Hawkins (illustrated by Daniel Frost),Children's Nonfiction Picture Book,Mathematics,"A space-academy-themed introduction to math for kids, teaching 40 short lessons — counting, shapes, measurement, fractions, symmetry, time and more — through cadets on missions with Professor Cosmo and friends."
The Screwtape Letters,C.S. Lewis,Fiction / Religion,"Christianity, Satire, Temptation",A senior devil writes to his nephew with advice on corrupting an ordinary man. Lewis's epistolary satire.
The Secret Door,Shelley Davidow,Children's Chapter Book / Phonetic Reader,"Phonics, Mystery, Adventure","Second chapter book in the phonetic reader series, mixing mystery and adventure with decoding practice in r-controlled vowels and vowel combinations (ar, or, er, ir, ur, oo, ou, ow, oi, oy, au, aw). Grades 2-4."
The Secret Pet,Shelley Davidow,Children's Chapter Book / Phonetic Reader,"Phonics, Friendship, Animals","First chapter book following the Early Reader Series: Tim befriends Jake the magical snake and smuggles him home and to school, and the two learn about the difference between life in the wild and life in a home, and how love changes our habits. Targets vowel teams, digraphs and open/closed syllables; grades 2-3."
The Secret Wish,Shelley Davidow,Children's Chapter Book / Phonetic Reader,"Phonics, Adventure","Final chapter book in the phonetic reader series, illustrated by Carol Liknaitzky, giving readers a story built around consonant blends and digraphs (qu, sh, th, wh, gl, pl, sl, gr, tr and others). Grades 3-4."
The Seven-Year-Old Wonder Book,Isabel Wyatt,Children's Anthology / Waldorf Curriculum,"Fairy Tales, Storytelling, Waldorf","Original stories written for the second-grade year in Waldorf schools, pitched at the change of consciousness around age seven."
The Shadow of the Gods,John Gwynne,Fantasy,"Norse-Inspired, Gods, Vengeance","Three hundred years after the gods tore each other apart, their bones and bloodlines still shape the land. First of The Bloodsworn Saga."
The Shadow of What Was Lost,James Islington,Fantasy,"Prophecy, Magic, Time","Twenty years after a rebellion stripped the Gifted of their powers, a young man discovers his own magic is different. First of the Licanius Trilogy."
The Shortest Day: Celebrating the Winter Solstice,Wendy Pfeffer (illustrated by Jesse Reisch),Children's Nonfiction Picture Book,"Winter Solstice, Astronomy, World Traditions","Why the days shorten and lengthen, and how cultures around the world have marked the solstice, with activities and celebrations to try."
The Shrouded Queen,Ashley Tropea,Fantasy / Romance,"Egyptian Mythology, Identity Swap, Trials","A slave and a princess trade places during an attack, sending each into a separate fight for survival. A romantasy debut drawing on ancient Egyptian mythology."
The Song of Achilles,Madeline Miller,Historical Fiction,"Greek Mythology, Troy, Love Story",Patroclus narrates his life with Achilles from boyhood through the Trojan War. Winner of the Orange Prize.
The Soul Would Have No Rainbow if the Eyes Had No Tears,Guy A. Zona,Quotation Collection,"Native American Proverbs, Wisdom","A gathering of Native American proverbs and sayings, arranged by theme."
The Spellshop,Sarah Beth Durst,Fantasy,"Cozy Fantasy, Jam, Magic",A librarian flees a burning capital with the last of the spellbooks and opens a jam-and-spells shop on a remote island. Cozy fantasy.
The Stoics Illustrated: Ancient Wisdom for Modern Living,Paul Scade,Philosophy / Illustrated Nonfiction,"Stoicism, Ancient Philosophy","An illustrated introduction to Stoic thought — Zeno, Seneca, Epictetus and Marcus Aurelius — and how their ideas on control, virtue and adversity apply to modern life."
The Story Book of Science,Jean-Henri Fabre,Children's Nonfiction / Nature,"Natural History, Conversational Science, Classic","Uncle Paul answers children's questions about insects, plants, weather, and stones over the course of a year. A nineteenth-century classic widely used in living-books curricula."
The Story of Amelia Earhart,Adele de Leeuw (illustrated by Harry Beckhoff),Children's Nonfiction / Biography,"Amelia Earhart, Aviation, Signature Books","Earhart's life and record flights, written for young readers in the Signature Books series."
The Story of Helen Keller,Lorena A. Hickok (illustrated by Jo Polseno),Children's Nonfiction / Biography,"Helen Keller, Deafblindness, Signature Books",Helen Keller's life from the illness that took her sight and hearing through her work as a writer and advocate. Signature Books #45.
The Story of Little Babaji,Helen Bannerman (illustrated by Fred Marcellino),Children's Picture Book,"Folktale, India, Tigers","A retitled and reillustrated version of the classic tale: a boy gives away his fine new clothes to tigers, who chase each other into butter for his pancakes."
The Story of Little Billy Bluesocks,Sibylle von Olfers,Children's Picture Book,"Fairies, Nature, Art Nouveau","Little Billy Bluesocks sets out from home and meets the creatures of the meadow and pond. Another of von Olfers's rounded, gently patterned picture books for the very young."
The Story of Martha Washington,Jeannette Covert Nolan (illustrated by Corinne B. Dillon),Children's Nonfiction / Biography,"Martha Washington, Colonial America, Signature Books",A biography of Martha Washington for young readers in the Grosset & Dunlap Signature Books series (#32).
The Story of Rome for Kids: From the Legend of Romulus to the Fall of Caesar,Tales of History,Children's Nonfiction / History,"Ancient Rome, Republic, Narrative History",Roman history told as a story from the founding legend through the assassination of Caesar. No named author on the cover; credited to the Tales of History imprint.
The Story of the Bible,Charles Foster,Children's Nonfiction / Religion,"Bible Stories, Old and New Testament, Vintage",Foster's nineteenth-century retelling of the Bible in simple language with several hundred illustrations. Antique illustrated binding.
The Story of the Butterfly Children,Sibylle von Olfers,Children's Picture Book,"Butterflies, Summer, Art Nouveau","The butterfly children live their summer among the flowers, hold a wedding, and weather a storm. Companion volume to the Root Children."
The Story of the Declaration of Independence,Norman Richards,Children's Nonfiction,"American History, Founding Documents","A Cornerstones of Freedom account of how the Declaration was drafted, debated and signed."
The Story of the Greeks,H. A. Guerber,Children's Nonfiction / History,"Ancient Greece, Classical History","A classic narrative history of ancient Greece for young readers, telling the story from the earliest settlers through Athens, Sparta, the Persian Wars and Alexander in short chapter-length episodes."
The Story of the Orchestra,Robert Levine (illustrated by Meredith Hamilton),Children's Nonfiction / Music,"Orchestra, Composers, Classical Music","An introduction to the instruments of the orchestra and the composers who wrote for them, with a companion recording."
The Story of the Roman Empire for Kids: From Augustus to the Fall of the Empire,Tales of History,Children's Nonfiction / History,"Roman Empire, Emperors, Narrative History",Picks up at Augustus and carries the story through the emperors to the fall of the western empire. No named author on the cover; credited to the Tales of History imprint.
The Story of the Root Children,Sibylle von Olfers,Children's Picture Book,"Seasons, Spring, Art Nouveau","Mother Earth wakes the root children in spring, they sew their bright clothes and go out into the world, and return underground in autumn. Von Olfers's best-known book and a staple of the Waldorf seasonal year."
The Story of the Snow Children,Sibylle von Olfers,Children's Picture Book,"Winter, Snow, Art Nouveau",Poppy is carried off by a snowflake to the winter queen's ice palace and returns home again. Von Olfers's winter counterpart to The Story of the Root Children.
"The Story of the World, Volume 1: Ancient Times",Susan Wise Bauer,Children's Nonfiction / History,"Ancient History, Homeschool Curriculum, Narrative History",World history told as a sequence of stories from the earliest nomads to the fall of Rome. The first of four volumes in a widely used classical homeschool history.
The Story of Ulysses S. Grant,Jeannette Covert Nolan (illustrated by Lynd Ward),Children's Nonfiction / Biography,"Ulysses S. Grant, Civil War, Signature Books","Grant's life from Ohio boyhood through the Civil War and the presidency. Signature Books #6, illustrated by Lynd Ward."
The Story-Book of Science,Jean-Henri Fabre,Children's Nonfiction / Classic,"Natural History, Insects, Science","The French entomologist teaches natural science through evening conversations between Uncle Paul and the children, covering insects, plants, weather, minerals and the workings of the natural world in story form."
The Sun Egg,Elsa Beskow,Children's Picture Book,"Forest Fairies, Oranges, Swedish Classic","A woodland fairy finds an orange in the forest and is certain it is a fallen piece of the sun, until a visiting bird explains what it really is. Another of Beskow's early-twentieth-century Swedish nature stories."
The Tales of Tiptoes Lightly,Reg Down,Children's Chapter Book / Waldorf,"Nature Stories, Fairies, Seasons","Three gentle nature tales — The Bee Who Lost His Buzz, Pumpkin Crow, and Lucy Goose and the Half-Egg — starring the fairy Tiptoes Lightly and her woodland friends."
The Testaments,Margaret Atwood,Dystopian Fiction,"Gilead, Testimony, Resistance","Three narrators, including Aunt Lydia, testify to the inner workings and unravelling of Gilead. Atwood's Booker-winning sequel to The Handmaid's Tale."
The Three Billy Goats Gruff,Mac Barnett (illustrated by Jon Klassen),Children's Picture Book / Folktale,"Folktales, Trolls, Humor","A deadpan retelling of the Norwegian folktale, with three goats, one bridge, and a troll who gets exactly what he deserves."
The Three Questions,Jon J Muth,Children's Picture Book,"Ethics, Zen Buddhism, Kindness","Based on Tolstoy's story: a boy asks when is the best time, who is most important, and what is the right thing to do, and finds the answers by helping someone in need."
The Untethered Soul Guided Journal,Michael A. Singer,Journal / Workbook,"Reflection, Prompts, Spirituality","A prompted journal companion to The Untethered Soul, with space for written reflection on each theme."
The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,Nonfiction / Spirituality,"Consciousness, Meditation, Letting Go","Singer on the inner voice, the habit of clinging to thought and emotion, and what it means to stop identifying with either."
The Upper Case: Trouble in Capital City,Tara Lazar (illustrated by Ross MacDonald),Children's Picture Book,"Grammar, Capitalization, Mystery",Private eye Question Mark investigates a case of missing capital letters in a punctuation-themed detective caper.
The Usborne Internet-Linked Encyclopedia of World History,Usborne,Children's Reference,World History,"A illustrated survey of world history from prehistory to the modern era, with recommended web links for each topic."
The Very Last Leaf,Stef Wade,Children's Picture Book,"Autumn, Anxiety, Courage","Lance the leaf is top of his class but terrified of falling, in a story about performance anxiety and letting go."
"The Very Short, Entirely True History of Unicorns",Sarah Laskow (illustrated by Sam Beck),Children's Nonfiction / Folklore,"Unicorns, Myth vs. Fact, Natural History","Traces where unicorn legends actually came from -- misread travelogues, narwhal tusks, mistranslated scripture -- and how the beast changed shape over two thousand years."
The Voyages of Christopher Columbus,Armstrong Sperry,Children's Nonfiction / History,"Exploration, Atlantic Crossing, Landmark Books",Columbus's four voyages recounted for young readers in the Landmark Books series.
The Waldorf Book of Poetry,David Kennedy,Poetry Anthology / Waldorf Curriculum,"Poetry, Verse, Waldorf Pedagogy","A large collection of poems gathered for Waldorf classrooms and homes, organized for recitation across the grades and the seasons."
"The Way of Gnome (Tales of Limindoor Woods, Book 1)",Sieglinde De Francesca,Children's Chapter Book / Fantasy,"Gnomes, Nature Stories, Waldorf","A prequel to A Donsy of Gnomes in which young Gus learns the 'Way of Gnome' — a code of kindness, generosity and courage — while readers discover how the gnomes first came to the magic forest of Limindoor and found their Gifts. Gentle read-aloud chapter book for ages 6+."
The Way of Kings,Brandon Sanderson,Fantasy,"Roshar, Storms, Knights Radiant","On a world scoured by highstorms, a slave, a scholar, and a highprince circle the return of an ancient order. First of The Stormlight Archive."
The Wild Robot,Peter Brown,Children's Chapter Book,"Robots, Island, Nature",A robot washes ashore on a wild island and slowly learns the language and rules of the animals living there. First of the Wild Robot trilogy.
The Will of the Many,James Islington,Fantasy,"Roman Empire, Hierarchy, Academy","In an empire where citizens cede their will up the hierarchy, an exiled prince hides in plain sight at its most prestigious academy. First of the Hierarchy series."
The Wise Enchanter: A Journey Through the Alphabet,Shelley Davidow (illustrated by Krystyna E. Kurzyca),Children's Chapter Book,"Alphabet, Fantasy, Language","A quest story in which children journey through the alphabet, each letter unlocking part of an enchanted adventure."
The Wonder of Lullabies,Mary Thienes-Schunemann,Songbook / CD Set,"Lullabies, Singing with Children, Waldorf","Lullabies gathered from around the world with guitar chords and a companion CD, meant for singing with children of any age. Revised edition in the Singing with Children series; a Naturally You Can Sing production."
The Wonders of Nature,DK,Children's Reference,"Nature, Natural History","A gilt-edged illustrated compendium of the natural world's most extraordinary plants, animals, minerals and phenomena."
The Wondrous Workings of Planet Earth,Rachel Ignotofsky,Illustrated Nonfiction,"Ecology, Ecosystems, Earth Science","Illustrated infographics explaining ecosystems, biomes and the cycles that keep the planet running."
The World of the Old Testament: A Curious Kid's Guide to the Bible's Most Ancient Stories,Marc Olson (illustrated by Jemima Maybank),Children's Nonfiction,"Bible History, Ancient Near East","Infographics, maps and charts explaining who the people of the Old Testament were — what they ate, how they worked, fought and worshipped — and how that context changes how the stories read."
Therapeutic Storytelling: 101 Healing Stories for Children,Susan Perrow,Teaching Guide / Storytelling,"Storytelling, Child Behavior, Healing","A collection of metaphorical stories written to address specific childhood challenges — fear, grief, anger, bedwetting, bullying — plus guidance on writing your own healing stories."
They Both Die at the End,Adam Silvera,Young Adult Fiction,"Mortality, Friendship, One Day","Two strangers get the call telling them they will die today, and spend their last day together. A New York-set novel about living fully in one day."
Thirteen Moons on Turtle's Back,Joseph Bruchac & Jonathan London (illustrated by Thomas Locker),Children's Poetry,"Native American Legends, Seasons","Thirteen poems, one for each moon of the year, drawn from the legends of different Native nations and painted in luminous landscapes."
This Is Monet,Sara Pappworth (illustrated by Aude Van Ryn),Illustrated Biography,"Monet, Impressionism","A pocket-sized illustrated life of Claude Monet, tracing his career and the making of Impressionism."
This Is Not My Hat,Jon Klassen,Children's Picture Book,"Humor, Deadpan, Fish","A small fish steals a hat from a much bigger fish and explains, confidently, why he'll get away with it. Winner of the Caldecott Medal; board book edition."
This Is the Way We Wash-a-Day,Mary Thienes-Schunemann (illustrated by Lura Schwarz-Smith),Songbook / CD Set,"Work Songs, Daily Rhythm, Waldorf","Songs for the ordinary work of the day -- washing, gardening, tidying -- with guitar chords, a CD, and an interview with Pete Seeger. Part of the Singing with Children series."
This Kingdom Will Not Kill Me,Ilona Andrews,Fantasy,"Portal Fantasy, Immortality, Court Intrigue",Maggie wakes in the brutal world of her favorite unfinished fantasy series and discovers she cannot die -- though everyone she comes to love can. First of the Maggie the Undying trilogy.
This Song Is (Not) for You,Laura Nowlin,Young Adult Fiction,"Music, Friendship, Polyamory",Three friends in a band navigate love that doesn't fit the shape they expected. A YA novel about asexuality and chosen relationships.
Three Grimms' Fairy Tales,Brothers Grimm (paintings by Gerard Wagner),Illustrated Anthology,"Fairy Tales, Anthroposophical Art",Three Grimm tales paired with the color paintings of anthroposophical artist Gerard Wagner.
Through Your Eyes: My Child's Gift to Me,Ainsley Earhardt (illustrated by Ji-Hyuk Kim),Children's Picture Book,"Mother and Child, Wonder, Everyday Moments","A mother sets out to show her daughter the world and finds her daughter showing it back to her, in the small things she would have hurried past. Told in verse with soft, impressionistic paintings."
To the Edge of the Universe,Raman Prinja (illustrated by John Hersey),Children's Nonfiction,"Astronomy, Cosmology","A fold-out journey outward from Earth to the observable edge of the universe, scaled step by step."
Today I Will Fly!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Perseverance, Friendship",Piggie is determined to fly and Gerald is sure it is impossible — until a little help from a passing bird proves him wrong.
Tomo-chan Is a Girl! Vol. 1-3,Fumita Yanagida,Manga,"Romantic Comedy, High School, Friendship",A tomboy tries to get her childhood best friend to see her as a girl. Omnibus of the first three volumes.
Tomo-chan Is a Girl! Vol. 4,Fumita Yanagida,Manga,"Romantic Comedy, High School, Friendship","Continuation of Tomo and Jun's long, oblivious romance."
Tomo-chan Is a Girl! Vol. 5,Fumita Yanagida,Manga,"Romantic Comedy, High School, Friendship","Continuation of Tomo and Jun's long, oblivious romance."
Tomo-chan Is a Girl! Vol. 6,Fumita Yanagida,Manga,"Romantic Comedy, High School, Friendship","Continuation of Tomo and Jun's long, oblivious romance."
Top 10 Worst Ruthless Warriors,Fiona Macdonald,Children's Nonfiction,"Military History, Warriors","A ranked, gruesome-facts tour of history's most feared fighting forces, written for reluctant readers."
Trees: A Folding Pocket Guide to Familiar North American Plants,James Kavanagh (illustrated by Raymond Leung),Field Guide,"Trees, North America, Nature Identification",A Pocket Naturalist folding laminated guide illustrating common North American trees with identification notes and range information.
Tress of the Emerald Sea,Brandon Sanderson,Fantasy,"Adventure, Fairy Tale, Cosmere","A window-washer's daughter leaves her island to rescue the boy she loves, crossing seas made of deadly spores. A standalone Cosmere tale told in the voice of a Princess Bride-style narrator."
Troll Magic: Hidden Folk from the Mountains and Forests of Norway,Theodor Kittelsen,Illustrated Folklore,"Norwegian Folklore, Trolls","The classic Norwegian artist's troll paintings and drawings, paired with the folklore of the hidden folk."
Two Truths and a Lie: Forces of Nature,Ammi-Joan Paquette & Laurie Ann Thompson,Children's Nonfiction,"Critical Thinking, Earth Science",More sets of three natural-world stories with one fabrication hidden in each.
Two Truths and a Lie: Histories and Mysteries,Ammi-Joan Paquette & Laurie Ann Thompson,Children's Nonfiction,"Critical Thinking, History","Historical accounts and mysteries, each trio containing one invention for readers to detect."
Two Truths and a Lie: It's Alive!,Ammi-Joan Paquette & Laurie Ann Thompson,Children's Nonfiction,"Critical Thinking, Biology","Three astonishing stories per section, one of which is false — readers must research to work out which."
Under the Bodhi Tree,Deborah Hopkinson (illustrated by Kailey Whitman),Children's Picture Book / Biography,"Buddhism, Biography","The life of Siddhartha, from sheltered prince to his awakening beneath the bodhi tree, told simply for young readers."
Under the Lilacs,Louisa May Alcott,Children's Illustrated Classic,"Circus, Friendship, Nineteenth Century",A runaway circus boy and his dog take shelter with two sisters in a New England town. A Junior Deluxe Editions printing.
Uni the Unicorn,Amy Krouse Rosenthal (illustrated by Brigette Barrager),Children's Picture Book,"Belief, Friendship, Unicorns","Uni the unicorn is certain that little girls are real, no matter what the other unicorns say."
"Unicorns, Dragons and More Fantasy Amigurumi",Meteoor Books,Craft Instruction,"Crochet, Amigurumi, Fantasy","Crochet patterns for fantasy creatures — unicorns, dragons, mermaids and more."
Ute Legends,Celinda Reynolds Kaelin,Folktale Anthology,"Ute Nation, Colorado, Oral Tradition","Traditional Ute stories collected and retold, with cultural and historical context. Caxton Press."
Vincent Can't Sleep,Barb Rosenstock (illustrated by Mary GrandPré),Children's Picture Book / Biography,"Van Gogh, Art, Restlessness","Van Gogh's sleepless nights walking under the stars, and how that restlessness became The Starry Night."
Vincent's Starry Night and Other Stories: A Children's History of Art,Michael Bird (illustrated by Kate Evans),Children's Nonfiction / Art History,"Art History, Artists","Sixty-eight short stories tracing art from cave paintings to the present, each built around a work or an artist's moment."
Wait! Wait!,Hatsue Nakawaki (illustrated by Komako Sakai),Children's Picture Book,"Toddlers, Nature, Curiosity","A toddler chases butterflies, lizards and pigeons calling wait, wait — a tiny book about noticing the world."
Waiting Is Not Easy!,Mo Willems,Children's Early Reader (Elephant & Piggie series),"Patience, Anticipation, Wonder","Piggie has a surprise that requires waiting, and Gerald's groaning impatience pays off in a sky full of stars."
